model,country,city,total_pois,name_accuracy,within_2km_accuracy,direction_accuracy,mae_km,median_error_km,low_confidence_rate
deepseek-v4-flash,Brasil,Campina Grande,50,0.3,0.36,0.2,0.6184,0.59,0.62
gpt-4.1,Brasil,Campina Grande,50,0.42,0.34,0.2,0.9852,0.85,0.54
gemini-3.1-flash-lite,Brasil,Campina Grande,50,0.34,0.3,0.12,0.83,0.63,0.62
deepseek-v4-pro,Brasil,Campina Grande,50,0.24,0.3,0.2,0.6344,0.61,0.68
Sonnet 4.6,Brasil,Campina Grande,50,0.3,0.28,0.18,0.6929,0.44,0.66
gemini-3-flash-preview,Brasil,Campina Grande,32,0.2188,0.2188,0.1875,0.6013,0.44,0.75
gemini-3-flash-preview,Brasil,São Paulo,32,0.5312,0.4688,0.4688,0.45,0.345,0.4375
gemini-3.1-flash-lite,Brasil,São Paulo,50,0.62,0.38,0.5,0.8116,0.61,0.38
gpt-4.1,Brasil,São Paulo,50,0.5,0.36,0.22,0.858,0.64,0.5
deepseek-v4-flash,Brasil,São Paulo,50,0.42,0.32,0.26,0.6561,0.44,0.54
Sonnet 4.6,Brasil,São Paulo,40,0.3,0.225,0.15,0.8746,0.7,0.675
deepseek-v4-pro,Brasil,São Paulo,50,0.32,0.22,0.18,0.8056,0.865,0.68
gemini-3-flash-preview,Brasil,Tibau do Sul,23,0.3913,0.3043,0.3913,0.7182,0.54,0.5217
gpt-4.1,Brasil,Tibau do Sul,50,0.22,0.2,0.08,0.7908,0.8,0.74
gemini-3.1-flash-lite,Brasil,Tibau do Sul,50,0.12,0.14,0.06,0.42,0.23,0.86
deepseek-v4-flash,Brasil,Tibau do Sul,50,0.1,0.12,0.08,0.5983,0.5,0.88
Sonnet 4.6,Brasil,Tibau do Sul,50,0.14,0.1,0.06,0.7738,0.715,0.84
deepseek-v4-pro,Brasil,Tibau do Sul,50,0.1,0.06,0.02,0.732,0.21,0.9
gemini-3-flash-preview,Canada,Vancouver,41,0.561,0.561,0.439,0.2152,0.15,0.439
gpt-4.1,Canada,Vancouver,50,0.66,0.56,0.44,0.4409,0.44,0.34
deepseek-v4-pro,Canada,Vancouver,50,0.6,0.54,0.6,0.4361,0.34,0.38
gemini-3.1-flash-lite,Canada,Vancouver,50,0.6,0.48,0.52,0.3632,0.23,0.38
Sonnet 4.6,Canada,Vancouver,40,0.525,0.45,0.275,0.651,0.55,0.475
deepseek-v4-flash,Canada,Vancouver,50,0.64,0.42,0.5,0.6658,0.59,0.34
deepseek-v4-pro,Estados Unidos,Aspen,50,0.58,0.5,0.4,0.4566,0.29,0.42
gemini-3-flash-preview,Estados Unidos,Aspen,50,0.42,0.42,0.28,0.2524,0.16,0.58
deepseek-v4-flash,Estados Unidos,Aspen,50,0.46,0.36,0.32,0.5061,0.31,0.54
gemini-3.1-flash-lite,Estados Unidos,Aspen,50,0.44,0.34,0.2,0.5168,0.37,0.56
gpt-4.1,Estados Unidos,Aspen,50,0.44,0.32,0.26,0.5018,0.2,0.56
Sonnet 4.6,Estados Unidos,Aspen,50,0.28,0.24,0.14,0.646,0.54,0.7
deepseek-v4-flash,Estados Unidos,New York,50,0.72,0.72,0.7,0.4518,0.33,0.22
deepseek-v4-pro,Estados Unidos,New York,50,0.62,0.68,0.5,0.3079,0.215,0.32
gpt-4.1,Estados Unidos,New York,50,0.62,0.64,0.52,0.4938,0.41,0.32
gemini-3.1-flash-lite,Estados Unidos,New York,50,0.62,0.64,0.58,0.3271,0.25,0.32
gemini-3-flash-preview,Estados Unidos,New York,32,0.5625,0.5625,0.4688,0.3495,0.22,0.4062
Sonnet 4.6,Estados Unidos,New York,50,0.48,0.54,0.4,0.4952,0.47,0.46
gemini-3-flash-preview,Inglaterra,Bath,32,0.7812,0.7188,0.6875,0.3904,0.17,0.2188
deepseek-v4-flash,Inglaterra,Bath,50,0.74,0.52,0.68,0.4526,0.285,0.24
deepseek-v4-pro,Inglaterra,Bath,50,0.62,0.5,0.54,0.4535,0.34,0.38
Sonnet 4.6,Inglaterra,Bath,50,0.5,0.42,0.2,0.7244,0.65,0.5
gpt-4.1,Inglaterra,Bath,50,0.6,0.42,0.42,0.6413,0.51,0.38
gemini-3.1-flash-lite,Inglaterra,Bath,50,0.66,0.4,0.48,0.8094,0.6,0.34
gemini-3-flash-preview,Inglaterra,Londres,41,0.7561,0.7317,0.6585,0.2938,0.195,0.2195
gemini-3.1-flash-lite,Inglaterra,Londres,50,0.72,0.68,0.62,0.4169,0.3,0.22
deepseek-v4-pro,Inglaterra,Londres,50,0.7,0.66,0.58,0.3631,0.22,0.28
deepseek-v4-flash,Inglaterra,Londres,50,0.74,0.64,0.52,0.6092,0.34,0.22
Sonnet 4.6,Inglaterra,Londres,40,0.7,0.6,0.525,0.6557,0.475,0.25
gpt-4.1,Inglaterra,Londres,50,0.64,0.58,0.4,0.4981,0.26,0.36
gemini-3-flash-preview,Países Baixos,Amsterdam,18,0.5,0.5,0.3889,0.2222,0.09,0.5
gemini-3.1-flash-lite,Países Baixos,Amsterdam,50,0.58,0.42,0.48,0.5233,0.375,0.4
Sonnet 4.6,Países Baixos,Amsterdam,30,0.5333,0.4,0.3667,0.4462,0.145,0.4667
gpt-4.1,Países Baixos,Amsterdam,50,0.44,0.4,0.34,0.3913,0.18,0.54
deepseek-v4-pro,Países Baixos,Amsterdam,50,0.48,0.4,0.36,0.4548,0.23,0.5
deepseek-v4-flash,Países Baixos,Amsterdam,50,0.4,0.34,0.2,0.5176,0.36,0.58
