model,country,total_pois,name_accuracy,within_2km_accuracy,direction_accuracy,mae_km,median_error_km,low_confidence_rate
gemini-3-flash-preview,Brasil,87,0.3793,0.3333,0.3448,0.5624,0.44,0.5747
gpt-4.1,Brasil,150,0.38,0.3,0.1667,0.8916,0.74,0.5933
gemini-3.1-flash-lite,Brasil,150,0.36,0.2733,0.2267,0.7696,0.6,0.62
deepseek-v4-flash,Brasil,150,0.2733,0.2667,0.18,0.634,0.515,0.68
Sonnet 4.6,Brasil,140,0.2429,0.2,0.1286,0.7721,0.61,0.7286
deepseek-v4-pro,Brasil,150,0.22,0.1933,0.1333,0.7216,0.69,0.7533
gemini-3-flash-preview,Canada,41,0.561,0.561,0.439,0.2152,0.15,0.439
gpt-4.1,Canada,50,0.66,0.56,0.44,0.4409,0.44,0.34
deepseek-v4-pro,Canada,50,0.6,0.54,0.6,0.4361,0.34,0.38
gemini-3.1-flash-lite,Canada,50,0.6,0.48,0.52,0.3632,0.23,0.38
Sonnet 4.6,Canada,40,0.525,0.45,0.275,0.651,0.55,0.475
deepseek-v4-flash,Canada,50,0.64,0.42,0.5,0.6658,0.59,0.34
deepseek-v4-pro,Estados Unidos,100,0.6,0.59,0.45,0.3763,0.23,0.37
deepseek-v4-flash,Estados Unidos,100,0.59,0.54,0.51,0.4719,0.32,0.38
gemini-3.1-flash-lite,Estados Unidos,100,0.53,0.49,0.39,0.4016,0.305,0.44
gpt-4.1,Estados Unidos,100,0.53,0.48,0.39,0.497,0.26,0.44
gemini-3-flash-preview,Estados Unidos,82,0.4756,0.4756,0.3537,0.2985,0.22,0.5122
Sonnet 4.6,Estados Unidos,100,0.38,0.39,0.27,0.549,0.475,0.58
gemini-3-flash-preview,Inglaterra,73,0.7671,0.726,0.6712,0.3361,0.17,0.2192
deepseek-v4-pro,Inglaterra,100,0.66,0.58,0.56,0.4049,0.29,0.33
deepseek-v4-flash,Inglaterra,100,0.74,0.58,0.6,0.5319,0.31,0.23
gemini-3.1-flash-lite,Inglaterra,100,0.69,0.54,0.55,0.5968,0.355,0.28
Sonnet 4.6,Inglaterra,90,0.5889,0.5,0.3444,0.6869,0.62,0.3889
gpt-4.1,Inglaterra,100,0.62,0.5,0.41,0.5686,0.34,0.37
gemini-3-flash-preview,Países Baixos,18,0.5,0.5,0.3889,0.2222,0.09,0.5
gemini-3.1-flash-lite,Países Baixos,50,0.58,0.42,0.48,0.5233,0.375,0.4
Sonnet 4.6,Países Baixos,30,0.5333,0.4,0.3667,0.4462,0.145,0.4667
gpt-4.1,Países Baixos,50,0.44,0.4,0.34,0.3913,0.18,0.54
deepseek-v4-pro,Países Baixos,50,0.48,0.4,0.36,0.4548,0.23,0.5
deepseek-v4-flash,Países Baixos,50,0.4,0.34,0.2,0.5176,0.36,0.58
