model,country,precision,recall,f1_score,hallucination_rate,true_positive,false_positive,false_negative,predicted_total,real_total,validated_addresses
gemini-3-flash-preview,Brazil,0.465,0.87,0.606,0.535,20,23,3,43,23,11
claude-sonnet-4-6,Brazil,0.44,0.767,0.559,0.56,33,42,10,75,43,15
gemini-3.1-flash-lite,Brazil,0.451,0.719,0.554,0.549,23,28,9,51,32,15
deepseek-v4-flash,Brazil,0.475,0.655,0.551,0.525,19,21,10,40,29,15
gpt-4.1,Brazil,0.476,0.645,0.548,0.524,20,22,11,42,31,15
deepseek-v4-pro,Brazil,0.419,0.481,0.448,0.581,13,18,14,31,27,15
gemini-3.1-flash-lite,Canada,0.944,0.68,0.791,0.056,17,1,8,18,25,5
gemini-3-flash-preview,Canada,0.833,0.75,0.789,0.167,15,3,5,18,20,4
gpt-4.1,Canada,0.778,0.636,0.7,0.222,14,4,8,18,22,5
claude-sonnet-4-6,Canada,0.6,0.652,0.625,0.4,15,10,8,25,23,5
deepseek-v4-flash,Canada,0.632,0.571,0.6,0.368,12,7,9,19,21,5
deepseek-v4-pro,Canada,0.75,0.474,0.581,0.25,9,3,10,12,19,5
gemini-3-flash-preview,Netherlands,0.8,0.667,0.727,0.2,8,2,4,10,12,2
claude-sonnet-4-6,Netherlands,0.72,0.545,0.621,0.28,18,7,15,25,33,5
gemini-3.1-flash-lite,Netherlands,0.789,0.5,0.612,0.211,15,4,15,19,30,5
deepseek-v4-flash,Netherlands,0.909,0.37,0.526,0.091,10,1,17,11,27,5
gpt-4.1,Netherlands,0.733,0.407,0.524,0.267,11,4,16,15,27,5
deepseek-v4-pro,Netherlands,0.667,0.231,0.343,0.333,6,3,20,9,26,5
gemini-3-flash-preview,United Kingdom,0.852,0.742,0.793,0.148,23,4,8,27,31,7
claude-sonnet-4-6,United Kingdom,0.8,0.741,0.769,0.2,40,10,14,50,54,10
gemini-3.1-flash-lite,United Kingdom,0.829,0.644,0.725,0.171,29,6,16,35,45,10
gpt-4.1,United Kingdom,0.833,0.568,0.676,0.167,25,5,19,30,44,10
deepseek-v4-pro,United Kingdom,0.818,0.474,0.6,0.182,18,4,20,22,38,9
deepseek-v4-flash,United Kingdom,0.692,0.462,0.554,0.308,18,8,21,26,39,10
claude-sonnet-4-6,United States,0.66,0.75,0.702,0.34,33,17,11,50,44,10
deepseek-v4-pro,United States,0.759,0.595,0.667,0.241,22,7,15,29,37,10
gemini-3.1-flash-lite,United States,0.686,0.632,0.658,0.314,24,11,14,35,38,10
gpt-4.1,United States,0.75,0.5,0.6,0.25,18,6,18,24,36,10
deepseek-v4-flash,United States,0.727,0.485,0.582,0.273,16,6,17,22,33,10
gemini-3-flash-preview,United States,0.562,0.474,0.514,0.438,9,7,10,16,19,5
